observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index,observation.effort
"[ 0.45252433 -0.33900976  0.30986413  0.49087387  0.7700584  -0.3129321
  0.13297777 -0.5276894  -0.11044662  0.6243302   0.7531846   0.33747578
 -0.9295924   0.2679634 ]","[ 0.46019426 -0.34821364  0.28532043  0.4893399   0.77772826 -0.31139812
  0.17933132 -0.5246214  -0.13652429  0.61205834  0.7562525   0.33133987
 -0.9295924   0.30606827]",137,1292,25.84,False,146792,2,"[ 164.09     -43.04    -204.44       0.       161.40001    0.
  -21.52      18.83    -642.91003 -306.66       2.69    -145.26001
    0.       -10.76   ]"
"[-0.00460194 -0.96487397  1.1873012  -0.00153398 -0.30986413  0.00153398
  0.05891488  0.04908739  0.07516506  0.78846616  0.00613592  0.01994175
  0.00153398  0.9588093 ]","[-0.0076699  -0.961806    1.1734953  -0.00153398 -0.319068    0.00153398
  0.08814252  0.05368933  0.0720971   0.7608545   0.00920388  0.00920388
 -0.00153398  0.8933859 ]",116,127,2.54,False,114127,2,"[ -13.450001   48.420002 -301.28        0.       -217.89        0.
  -34.97       94.15     -395.43002  -473.44        0.       -239.41
   -2.69        0.      ]"
"[ 0.02914564  0.18100974  0.94339824  0.00306796 -1.1320778  -0.15800002
  0.26202247 -0.06135923 -0.22242722  0.9679419  -0.10584468 -0.58751464
 -0.46939814  0.1518069 ]","[ 0.02761165  0.14112623  0.9249904   0.00153398 -1.1474177  -0.1672039
  0.22893856 -0.05829127 -0.22089323  0.960272   -0.1043107  -0.59518456
 -0.5276894   0.30208004]",172,250,5.0,False,174050,3,
"[-0.01073787 -0.38042724  1.1259419  -0.02300971 -0.43871853 -0.00613592
 -0.10127066 -0.0076699  -0.642738    1.202641    0.01840777 -0.4325826
  0.00460194 -0.10317139]","[-0.00153398 -0.2715146   1.0507768  -0.03374758 -0.4479224  -0.00613592
 -0.1400643  -0.00920388 -0.57064086  1.1627575   0.02454369 -0.4402525
  0.00460194 -0.16395108]",182,41,0.82,False,177841,3,
"[ 0.02454369  0.20095149  0.8344856   0.05215535 -1.3790488  -0.20555343
  0.3063599  -0.09510681 -0.31139812  1.0062914  -0.21015537 -0.6657477
 -1.0385051   0.50618064]","[ 0.02300971  0.19481556  0.8114759   0.05522331 -1.3882526  -0.20708741
  0.2699571  -0.10124274 -0.2945243   0.9771458  -0.19634955 -0.67648554
 -1.0845244   0.5068818 ]",161,268,5.36,False,169668,3,
"[ 0.0322136   0.25003886  0.90504867  0.03834952 -1.362175   -0.12578642
  0.2181959  -0.07363108 -0.12732041  0.9096506  -0.03834952 -0.5660389
 -1.0016894   0.5308362 ]","[ 0.0322136   0.23623304  0.8881749   0.04141748 -1.366777   -0.12578642
  0.16027556 -0.07516506 -0.12732041  0.8851069  -0.03374758 -0.5752428
 -1.0016894   0.5321977 ]",162,314,6.28,False,170114,3,
"[-0.0076699   0.19634955  0.90504867 -0.04141748 -1.3483691  -0.18714567
  0.23025152 -0.06596117 -0.14879614  0.9295924  -0.01994175 -0.6948933
 -1.1658255   0.45331836]","[-0.0076699   0.18867964  0.88357294 -0.04295146 -1.3545051  -0.1917476
  0.18317197 -0.06749516 -0.15033013  0.91885453 -0.0076699  -0.7117671
 -1.1673595   0.45336667]",183,302,6.04,False,178502,3,
"[-0.10737866 -0.7332428   1.1719613  -0.51695156 -0.3834952   0.51848555
  0.84335726  0.1043107  -0.5154176   1.1780972   0.12732041 -0.6780195
 -0.11351458  0.83428216]","[-0.11351458 -0.75165063  1.1796312  -0.5154176  -0.42031074  0.5046797
  0.7450109   0.09817477 -0.53382534  1.1734953   0.13499032 -0.69182533
 -0.11658254  0.7295552 ]",209,582,11.64,False,190982,4,"[ -88.770004  -21.52     -285.14       34.97     -220.58      -26.900002
 -131.81     -126.43     -209.82     -322.80002    13.450001 -266.31
    0.       -271.69    ]"
"[-0.02454369 -0.2623107   0.9863497  -0.01073787 -0.641204    0.02454369
  0.8558544  -0.1288544  -0.3359418   0.79000014  0.36355346 -0.58444667
 -1.0139613   0.8257846 ]","[-0.02607767 -0.3589515   1.0185633  -0.01073787 -0.62739813  0.06902914
  0.7573755  -0.11044662 -0.38963112  0.8114759   0.41417482 -0.5491651
 -0.9510681   0.7202817 ]",207,317,6.34,False,189517,4,"[  -5.38     -433.09     -322.80002     0.        -59.18        0.
 -134.5       153.33     -250.17     -411.57      -43.04     -107.600006
    0.       -322.80002 ]"
"[-0.00460194  0.01687379  0.5997865  -0.07056312 -0.52001953 -0.00613592
  0.8304407  -0.19788353 -0.2638447   0.717903    0.04295146 -0.6059224
 -1.3805827   0.82889426]","[-0.00153398  0.00306796  0.5767768  -0.0720971  -0.5246214  -0.00460194
  0.7326463  -0.17794177 -0.29759228  0.7040972   0.11504856 -0.61052436
 -1.3023497   0.72646403]",206,221,4.42,False,188821,4,"[   0.       -355.08002  -586.42        0.        -80.700005    0.
 -142.57      204.44     -707.47003  -454.61002   196.37001  -164.09
  137.19     -239.41    ]"
"[ 0.1840777  -0.7286409   0.82681566 -0.05522331 -0.09203885  0.7271069
  0.86511827  0.09970875 -0.11351458  0.68568945  0.42951465 -0.5537671
 -0.4080389   0.7723342 ]","[ 0.19021362 -0.70869917  0.77772826 -0.05522331 -0.11044662  0.7669904
  0.76974005  0.11044662 -0.10124274  0.6243302   0.40343696 -0.5506991
 -0.38656318  0.6661867 ]",205,335,6.7,False,188335,4,"[  21.52      -13.450001 -597.18        0.       -215.20001   -29.59
  -61.870003  188.3      -352.39     -581.04004   -21.52      -78.01
   -8.07     -470.75    ]"
"[-0.09510681 -0.4893399   0.8973788  -0.38963112 -0.41110685  0.84368944
  0.7038324   0.11351458 -0.07363108  0.8237477  -0.12578642 -0.71636903
  0.25924277  0.667676  ]","[-0.0966408  -0.5553011   0.93112636 -0.38963112 -0.398835    0.7593205
  0.63372964  0.11811652 -0.13805827  0.8314176  -0.12271847 -0.6979613
  0.21935926  0.5178117 ]",202,424,8.48,False,186624,4,"[   0.       -215.20001  -347.01        0.        -88.770004   -2.69
  -53.800003   75.32     -726.3      -355.08002     8.07     -121.05
   -2.69     -804.31    ]"
"[-0.01687379 -0.398835    0.9909516   0.00920388 -0.76392245 -0.02454369
  0.45245594  0.04295146 -0.00306796  0.7669904   0.06596117 -0.7685244
  0.01533981  0.67056835]","[-0.02607767 -0.40190297  0.9771458   0.01380583 -0.7700584  -0.02300971
  0.3079381   0.0398835  -0.01840777  0.7439807   0.08590293 -0.7761943
  0.01533981  0.7627183 ]",222,233,4.66,False,195433,5,"[-199.06      -48.420002 -419.64       64.56     -196.37001     0.
 -540.69      -51.11     -365.84     -583.73004    99.53     -207.13
    0.        118.36    ]"
"[ 0.02300971 -0.40190297  1.0262332   0.03681554 -0.5798448  -0.02454369
  0.9223007   0.01380583 -0.31753403  0.96487397  0.14572819 -0.7470487
  0.02607767  0.9991136 ]","[ 0.02454369 -0.42798066  0.9786798   0.03374758 -0.62126225 -0.04295146
  0.8385149   0.00306796 -0.3834952   0.93112636  0.13499032 -0.64733994
  0.02454369  1.0171787 ]",217,328,6.56,False,193778,5,"[  -2.69     -336.25     -567.59      -18.83     -180.23001   -24.210001
    0.         -5.38     -457.30002  -656.36      -29.59       94.15
    0.          0.      ]"
"[-0.01227185 -0.90504867  1.199573   -0.00153398 -0.3589515  -0.0076699
  0.99944246 -0.03067962 -0.02300971  0.9249904   0.01380583  0.0720971
  0.02454369  0.37754887]","[-0.0076699  -0.85289335  1.1750293  -0.00153398 -0.40190297 -0.00613592
  1.015374   -0.01227185 -0.0966408   0.94186425  0.02761165 -0.1288544
  0.02607767  0.3729066 ]",234,135,2.7,False,199535,5,"[  18.83      269.       -616.01        0.       -252.86       -2.69
 -422.33002   -10.76     -718.23004  -258.24       26.900002   16.14
    2.69     -441.16    ]"
"[-0.01227185 -0.58751464  1.1259419   0.04755341 -0.7332428  -0.01073787
  0.9924023   0.05368933  0.159534    0.6089904   0.0398835  -0.8482914
  0.04141748  0.21363468]","[-0.01533981 -0.58598065  1.0983303   0.04755341 -0.7424467  -0.01227185
  0.9720615   0.05368933  0.15033013  0.58137876  0.03834952 -0.8314176
  0.04295146  0.22853196]",232,207,4.14,False,198907,5,"[ -18.83        5.38     -667.12        0.       -223.27       -2.69
  -78.01        0.       -355.08002  -551.45      -32.28      -96.840004
    0.       -538.      ]"
"[-0.00460194 -0.9526021   1.1750293  -0.00460194 -0.2899224  -0.01533981
  0.17495273 -0.04141748  0.36508745  0.398835    0.01994175  0.24850489
  0.02914564  0.29177397]","[-0.00460194 -0.9372623   1.1627575  -0.00460194 -0.29759228 -0.01380583
  0.36749268 -0.01380583  0.30833015  0.398835    0.02607767  0.25003886
  0.03374758  0.30252403]",220,129,2.58,False,194629,5,"[   -2.69       255.55      -274.38         0.        -147.95
     0.         419.64       500.34     -1043.72      -102.22
    80.700005    29.59        29.59      -503.03    ]"
"[ 0.02607767 -0.58751464  1.2747381  -0.07823303 -0.8329516  -0.04295146
  0.7242345  -0.00920388  0.18561168  0.5537671  -0.00460194 -0.76392245
  0.11811652  0.10998474]","[ 0.02761165 -0.56297094  1.2348546  -0.0720971  -0.85289335 -0.04908739
  0.64609426 -0.01227185  0.17794177  0.51695156 -0.00306796 -0.77312636
  0.11658254 -0.08341604]",276,250,5.0,False,216400,6,"[   0.        -43.04     -476.13       13.450001 -161.40001     0.
  -21.52        0.       -497.65002  -586.42        0.       -225.96
   -5.38     -804.31    ]"
"[ 0.01227185 -0.98021376  1.2425245  -0.00306796 -0.41264084  0.
  0.07046074  0.04295146 -0.3129321   0.86823314  0.01380583  0.1917476
  0.07823303  0.13912012]","[ 0.01533981 -0.97100985  1.2317866  -0.00460194 -0.42031074  0.00153398
  0.10668939  0.07056312 -0.25310683  0.7915341   0.02454369  0.24543694
  0.07823303  0.25197324]",269,41,0.82,False,213391,6,"[   0.        180.23001  -293.21        0.       -199.06       -2.69
    0.        115.670006 -357.77002  -465.37        0.       -129.12
   -2.69      -78.01    ]"
"[ 0.02454369 -0.1288544   1.0645827  -0.04755341 -1.1826992  -0.14879614
  0.05464445 -0.01687379  0.10277671  0.7286409   0.03681554 -0.7869322
  0.23930101  0.22414503]","[ 0.02300971 -0.13805827  1.0507768  -0.04448544 -1.1934371  -0.15033013
  0.06805008 -0.01687379  0.09203885  0.7071652   0.04295146 -0.77466035
  0.240835    0.36789116]",254,268,5.36,False,207618,6,"[   0.       -250.17     -395.43002    48.420002 -220.58       -2.69
 -395.43002     0.       -266.31     -368.53       40.350002  -29.59
    0.       -166.78    ]"
"[ 0.14879614 -0.400369    1.1458837  -0.20555343 -0.94493216  0.18561168
  0.03384281 -0.00153398 -0.11965051  0.8160778   0.05829127 -0.8467574
  0.1043107   0.80423164]","[ 0.21322334 -0.42644668  1.1458837  -0.25003886 -0.94339824  0.22242722
  0.03404751 -0.00460194 -0.1764078   0.8329516   0.06289321 -0.87590307
  0.10277671  0.715645  ]",284,314,6.28,False,219664,6,"[  80.700005 -209.82     -322.80002    24.210001  -94.15      -37.66
 -503.03      -78.01     -476.13     -376.6        21.52     -199.06
    0.         16.14    ]"
"[ 0.33287385 -0.23930101  1.0829904  -0.24543694 -1.0108933   0.25464082
  0.01347585 -0.05829127 -0.14112623  0.91732055 -0.01380583 -0.8390875
  0.14266022  0.79683644]","[ 3.7735927e-01 -2.4697091e-01  1.0768546e+00 -2.6231071e-01
 -1.0139613e+00  2.7304858e-01  4.4872369e-05 -6.4427197e-02
 -1.6260196e-01  9.0658265e-01 -1.2271847e-02 -8.4982538e-01
  1.4266022e-01  7.0791715e-01]",283,302,6.04,False,219252,6,"[  32.28    -234.03    -193.68001   16.14     -67.25      -5.38
 -503.03    -131.81    -632.15    -290.52002    2.69    -277.07
   -2.69       0.     ]"
"[ 0.00306796 -0.44178647  1.1121361  -0.14572819 -0.47400007 -0.00920388
 -0.09249996 -0.27918452 -0.06596117  0.43411657  0.5430292   0.7562525
 -0.54609716 -0.09887014]","[ 0.0076699  -0.37889326  1.0477089  -0.15033013 -0.5031457  -0.0076699
 -0.12451148 -0.2469709  -0.11965051  0.42644668  0.53075737  0.7040972
 -0.5445632  -0.14477278]",290,313,6.26,False,223563,7,
"[ 0.2899224   0.19634955  0.6642137  -0.63506806 -0.71636903 -0.5675729
 -0.07440369 -0.45866027 -0.1119806   0.7040972  -0.00153398 -0.19788353
 -0.07056312 -0.0910032 ]","[ 0.30066025  0.18714567  0.64427197 -0.6304661  -0.72403896 -0.57064086
 -0.10033996 -0.46786416 -0.10277671  0.6703496   0.         -0.20708741
 -0.0720971  -0.13053848]",288,557,11.14,False,222407,7,
"[-0.04755341 -0.22856314  0.9004468  -0.28532043 -0.5537671   0.29912627
  0.3984028  -0.05982525 -0.2945243   0.80227196 -0.02761165 -0.17487381
  0.10277671 -0.02698323]","[-0.05062137 -0.2469709   0.8897089  -0.28378645 -0.559903    0.29912627
  0.39556256 -0.05215535 -0.31600004  0.7915341  -0.02607767 -0.18714567
  0.1043107  -0.04118328]",314,672,13.44,False,240722,7,
"[ 0.29912627  0.23469907  0.76545644 -0.5537671  -0.8620972  -0.58137876
  0.3984028  -0.5261554   0.14266022  0.5368933   0.12732041 -0.13499032
 -0.2162913  -0.05947439]","[ 0.28225246  0.1764078   0.7853982  -0.5491651  -0.86669916 -0.56297094
  0.39556256 -0.5261554   0.06749516  0.50774765  0.1288544  -0.13805827
 -0.21322334 -0.08911773]",313,604,12.08,False,239954,7,
"[-0.01227185 -0.5261554   1.1520196  -0.05215535 -0.5368933  -0.01533981
  0.41739658 -0.17487381 -0.12118448  0.45405832  0.35741752  0.75011665
 -0.25157285 -0.07547556]","[-0.01380583 -0.47706804  1.1029322  -0.05368933 -0.5798448  -0.01533981
  0.41691184 -0.13652429 -0.17027187  0.400369    0.27304858  0.69029135
 -0.19481556 -0.11305804]",329,303,6.06,False,250853,7,
"[ 0.0644272  -0.38656318  0.72403896 -0.02607767 -0.4233787   0.01687379
  0.05253537 -0.67648554 -0.17794177  1.0231652  -1.5063692   0.14879614
  1.6137478  -0.04392328]","[ 0.05982525 -0.4080389   0.71483505 -0.02607767 -0.43411657  0.01380583
  0.08350579 -0.70102924 -0.12425245  0.97100985 -1.5048352   0.14112623
  1.599942   -0.1189642 ]",363,368,7.36,False,269118,8,"[ -29.59     -435.78     -279.76        0.       -244.79001    -5.38
    0.        -96.840004 -236.72     -414.26        0.        -10.76
    8.07     -669.81    ]"
"[-0.01380583 -0.95567006  1.1688933  -0.00153398 -0.2899224   0.
  0.05306102 -0.00153398 -0.95720404  1.1750293  -0.00153398 -0.28225246
  0.01073787  0.11835916]","[-0.01687379 -0.93266034  1.124408   -0.00306796 -0.29759228 -0.00306796
  0.08350579 -0.00613592 -0.9341943   1.1060002  -0.00306796 -0.21168935
  0.01227185  0.16233003]",358,16,0.32,False,266266,8,"[ -37.66     190.99    -712.85004    0.      -156.02       0.
   -5.38    -112.98     244.79001 -755.89       0.       -43.04
   -5.38       0.     ]"
"[ 0.08590293 -0.3681554   0.67648554 -0.00460194  0.05675729  0.07363108
  0.08425952  0.33900976  0.19328159  0.50621367 -1.4127964   1.4511459
  2.0141168   0.5170176 ]","[ 0.08743691 -0.35741752  0.6795535  -0.00613592  0.06902914  0.07363108
  0.12369067  0.32980588  0.159534    0.5031457  -1.4204663   1.4204663
  2.0156507   0.34007087]",362,168,3.36,False,268418,8,"[ -10.76  223.27   67.25    0.    328.18    0.     -2.69 -150.64 -874.25
 -239.41 -153.33    5.38    0.    207.13]"
"[ 0.05522331 -0.16566993  0.37582532 -0.00920388  0.29759228  0.11965051
  0.06380329  0.7562525   0.1043107   0.56297094 -1.2225827   1.7303303
  2.1337674   0.9031769 ]","[ 0.05982525 -0.17794177  0.36968938 -0.00920388  0.30219424  0.11811652
  0.09741598  0.7439807   0.08897088  0.561437   -1.208777    1.7533401
  2.1337674   0.8130161 ]",364,140,2.8,False,269390,8,"[  91.46     -279.76     -201.75        0.         94.15       -5.38
    0.        -99.53     -395.43002  -260.93      -80.700005  190.99
    0.         13.450001]"
"[-0.01073787 -0.9035147   1.1520196  -0.00306796 -0.29759228  0.00920388
  0.07498834  0.         -0.8605632   1.0967963  -0.00153398 -0.18561168
  0.00306796  0.00152545]","[-0.01073787 -0.86823314  1.1013982  -0.00460194 -0.30526218  0.00460194
  0.11287169 -0.00460194 -0.80533993  1.0062914  -0.00460194 -0.079767
  0.         -0.00768295]",344,18,0.36,False,259268,8,"[  -8.07   99.53 -667.12    0.   -220.58    0.    -16.14  -91.46  201.75
 -696.71    0.    -45.73    0.   -239.41]"
"[ 0.0398835   0.          1.0231652  -0.0076699  -0.28378645 -0.0720971
  0.6226545  -0.02607767  0.22242722  0.58598065  0.03067962 -0.0966408
  0.28532043 -0.05367811]","[ 0.04295146  0.01687379  0.9909516  -0.00920388 -0.30066025 -0.06902914
  0.5703612  -0.04141748  0.21475732  0.559903    0.03067962 -0.10737866
  0.28685442 -0.14523894]",398,110,2.2,False,285260,9,"[  26.900002 -403.5      -395.43002     0.       -188.3        -2.69
   -5.38     -207.13     -363.15     -554.14        0.       -223.27
  -10.76     -720.92004 ]"
"[-0.02454369  0.17333983  0.94646615 -0.01073787 -0.5553011  -0.04141748
  0.6638104   0.01994175  0.10737866  0.7117671   0.01994175 -0.05062137
  0.2239612  -0.05476674]","[-0.02607767  0.17487381  0.91885453 -0.01073787 -0.56297094 -0.0398835
  0.6028182   0.02454369  0.0966408   0.6979613   0.02147573 -0.05982525
  0.22549519 -0.14833009]",437,120,2.4,False,301270,9,"[ -16.14    -406.19    -317.42       0.      -220.58       0.
   45.73      91.46    -306.66    -411.57       0.      -247.48001
   -5.38    -758.58   ]"
"[-0.01533981 -0.14879614  1.0200973  -0.02300971 -0.4571263  -0.01380583
 -0.02406238 -0.03067962 -0.32366997  0.97254384  0.04601942  0.11811652
  0.20401946 -0.04392328]","[-0.01687379 -0.09817477  0.9740778  -0.02454369 -0.47860202 -0.01533981
 -0.04014001 -0.00613592 -0.27611655  0.94186425  0.04755341  0.08743691
  0.20708741 -0.11587304]",446,62,1.24,False,305612,9,"[  -5.38    -333.56    -433.09       0.      -204.44       8.07
 -220.58     164.09    -177.54001 -632.15      21.52    -172.16
  -21.52    -607.94   ]"
"[-0.23623304  0.1518641   0.94186425 -0.079767   -0.3267379  -0.31600004
  0.24402277  0.13652429  0.37122336  0.5031457  -0.02300971 -0.19021362
  0.45866027 -0.04600605]","[-0.23930101  0.12425245  0.94033027 -0.07823303 -0.32980588 -0.30986413
  0.06495892  0.14112623  0.3037282   0.4954758  -0.02300971 -0.16566993
  0.46019426 -0.09268945]",438,303,6.06,False,301953,9,"[  -53.800003  -624.08       -56.49         0.           0.
     0.        -804.31        75.32     -1121.73      -252.86
    -2.69       -61.870003     0.        -250.17    ]"
"[-0.15033013 -0.13805827  1.1965051  -0.03374758 -0.41264084 -0.15800002
  0.61769515  0.11658254  0.24850489  0.5430292   0.03528156 -0.16873789
  0.2162913  -0.04920046]","[-0.1518641  -0.10584468  1.1596895  -0.03374758 -0.4233787  -0.15493207
  0.6198195   0.12118448  0.24236897  0.5138836   0.03374758 -0.17794177
  0.21782528 -0.12978323]",448,89,1.78,False,306639,9,"[  -5.38    -295.9     -363.15       0.      -180.23001    0.
  190.99      94.15    -414.26    -575.66003    0.      -228.65001
   -2.69    -621.39   ]"
"[-0.2715146  -0.06289321  0.960272   -0.14879614 -0.3528156  -0.09203885
 -0.05285357  0.2086214   0.10584468  1.0400391   0.00306796 -0.6948933
  0.26077673  0.6354944 ]","[-0.28378645 -0.04601942  0.9295924  -0.1518641  -0.37889326 -0.09357283
 -0.1313288   0.21782528  0.13805827  1.0139613   0.00460194 -0.720971
  0.2807185   0.63527524]",539,53,1.06,False,351803,10,"[-102.22    -355.08002 -454.61002    0.      -212.51001    0.
 -454.61002  164.09    -371.22    -303.97       0.      -225.96
    0.      -172.16   ]"
"[-0.30526218  0.07056312  0.9295924  -0.30986413 -0.9341943   0.11351458
  0.8242216   0.1994175   0.09357283  1.0246992   0.00613592 -1.1535536
  0.15493207  0.2679634 ]","[-0.30679616  0.05368933  0.9096506  -0.30833015 -0.92345643  0.11504856
  0.73110074  0.20555343  0.08130098  1.0154953   0.00306796 -1.1535536
  0.15339808  0.27515683]",584,427,8.54,False,374677,10,"[  -8.07     -511.1      -443.85       10.76     -137.19       -2.69
  -26.900002  137.19     -333.56     -269.        -10.76      -80.700005
   -2.69     -720.92004 ]"
"[-0.1840777   0.0076699   1.0829904  -0.02147573 -0.3850292  -0.13652429
 -0.00376501  0.07669904  0.5154176   0.43871853 -0.04755341 -0.3604855
  0.2469709   0.3882087 ]","[-0.18714567 -0.01994175  1.0783886  -0.02300971 -0.38809714 -0.13805827
 -0.01850199  0.079767    0.4878059   0.42184472 -0.05062137 -0.36355346
  0.24850489  0.38798362]",535,199,3.98,False,349949,10,"[ -29.59 -667.12 -126.43    0.    -51.11   18.83 -317.42   45.73 -694.02
 -486.89   -2.69  -37.66    2.69 -271.69]"
